,id,SRM
Adambier,2,41.00
American Imperial Stout,1148,40.09
German Rye,19,40.00
British Imperial Stout,251,39.17
Stout,204,39.15
Oatmeal Stout,308,38.80
American Imperial Porter,211,38.71
Export Stout,82,38.62
Sweet Stout,406,38.28
Dry Irish Stout,124,38.21
BBL Aged Dark,73,38.00
American Stout,620,37.63
Black Ale,291,36.33
Robust Porter,246,36.16
Schwarzbier,103,36.09
Baltic Porter,148,36.07
Smoke Porter,57,35.80
Traditional,12,35.50
Coffee Beer,127,34.24
Brown Porter,632,32.73
Scottish Light,39,31.50
American/Belgian Dark,20,30.00
Aged Beer,20,28.00
Doppelbock,205,27.36
Chocolate Beer,42,27.20
