,beer count,originalGravity
Belgian Pale Strong,217,1.166
Honey Beer,80,1.131
American Imperial Stout,1148,1.111
BBL Aged Dark,73,1.100
Eisbock,14,1.099
American Barleywine,363,1.099
Belgian Quad,191,1.093
BBL Aged Strong,82,1.093
British Imperial Stout,251,1.085
American/Belgian Dark,20,1.085
Belgian Dark Strong,294,1.085
Belgian Tripel,439,1.083
British Barleywine,115,1.082
Aged Beer,20,1.082
Doppelbock,205,1.081
American Imperial Porter,211,1.081
Imperial IPA,1865,1.080
Wheatwine,74,1.079
Wild Beer,255,1.078
Imperial Red,186,1.077
Strong Ale,298,1.077
Weizenbock,67,1.077
BBL Aged,277,1.075
Adambier,2,1.075
Scottish Heavy,123,1.073
