,beercount,ibu
Imperial IPA,1865,88.1990625
American Barleywine,363,73.48345865
Imperial Red,186,68.80714286
British Imperial Stout,251,67.92592593
American/Belgian Dark,20,67.09090909
Black Ale,291,66.33333333
American IPA,3580,63.46967641
Double Red,17,62.81818182
American Imperial Stout,1148,60.02612613
American Ice Lager,1,60
American Strong Pale,60,58.34285714
English IPA,163,57.9441791
British Barleywine,115,55.25714286
Wet Hop Ale,43,53.66666667
BBL Aged Strong,82,51.35416667
Session IPA,231,50.58688525
BBL Aged Dark,73,49.53793103
American/Belgian Pale,18,49.4
Juicy or Hazy Double IPA,16,49.2
Rye Ale,189,47.61397849
American Imperial Porter,211,45.82857143
Stout,204,43.87037037
Wheatwine,74,43.34285714
Export Stout,82,42.51190476
Strong Ale,298,42.30549451
