,currentPage,numberOfPages,totalResults,data,status
0,1,6,273,"{'id': 'Qg6dpg', 'name': '1916 Irish Stout', 'nameDisplay': '1916 Irish Stout', 'abv': '3.5', 'styleId': 42, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2012-01-03 02:42:37', 'updateDate': '2015-05-22 15:22:58', 'style': {'id': 42, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Stout', 'shortName': 'American Stout', 'description': 'Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.', 'ibuMin': '35', 'ibuMax': '60', 'abvMin': '5.7', 'abvMax': '8.8', 'srmMin': '40', 'srmMax': '40', 'ogMin': '1.05', 'fgMin': '1.01', 'fgMax': '1.022', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:28:43'}}",success
1,1,6,273,"{'id': 'gQrXfL', 'name': 'Alby Crisp Lager', 'nameDisplay': 'Alby Crisp Lager', 'description': 'Alby Crisp is an easy drinking contemporary lager. It\'s light body and mild bitterness make it super refreshing any time of the year. In 1837, the Albion Brewery poured WA\'s first beer. More than 175 years later, they bring you the ""new"" Albion and Alby: locally brewed using 100% WA grown barley.', 'abv': '3.5', 'styleId': 93, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2018-05-05 04:17:40', 'updateDate': '2018-05-14 20:21:59', 'style': {'id': 93, 'categoryId': 8, 'category': {'id': 8, 'name': 'North American Lager', 'createDate': '2012-03-21 20:06:46'}, 'name': 'American-Style Lager', 'shortName': 'American Lager', 'description': 'Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.', 'ibuMin': '5', 'ibuMax': '13', 'abvMin': '3.8', 'abvMax': '5', 'srmMin': '2', 'srmMax': '4', 'ogMin': '1.04', 'fgMin': '1.006', 'fgMax': '1.01', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:39:26'}}",success
2,1,6,273,"{'id': 'JaLg23', 'name': 'Ale Terrain XVI', 'nameDisplay': 'Ale Terrain XVI', 'abv': '3.5', 'styleId': 11, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2018-05-10 20:24:25', 'updateDate': '2018-05-24 19:06:51', 'style': {'id': 11, 'categoryId': 1, 'category': {'id': 1, 'name': 'British Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'English-Style Dark Mild Ale', 'shortName': 'English Dark Mild', 'description': 'English dark mild ales range from deep copper to dark brown (often with a red tint) in color. Malt flavor and caramel are part of the flavor and aroma profile while, licorice and roast malt tones may sometimes contribute to the flavor and aroma profile. Body should be low-medium to medium. These beers have very little hop flavor or aroma. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low.', 'ibuMin': '10', 'ibuMax': '24', 'abvMin': '3.2', 'abvMax': '4', 'srmMin': '17', 'srmMax': '34', 'ogMin': '1.03', 'fgMin': '1.004', 'fgMax': '1.008', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:20:43'}}",success
3,1,6,273,"{'id': 'BiZ8dS', 'name': 'All Growed Up Root Beer', 'nameDisplay': 'All Growed Up Root Beer', 'description': 'Brewed adult root beer. Not for kids!\r\n\r\nThis is actually a beer, not a cocktail with liquors mixed in.', 'abv': '3.5', 'styleId': 125, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2015-04-10 18:18:42', 'updateDate': '2015-04-10 18:18:42', 'style': {'id': 125, 'categoryId': 11, 'category': {'id': 11, 'name': 'Hybrid/mixed Beer', 'createDate': '2012-03-21 20:06:46'}, 'name': 'Specialty Beer', 'shortName': 'Specialty', 'description': 'These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.', 'ibuMax': '100', 'abvMin': '2.5', 'abvMax': '25', 'srmMin': '1', 'srmMax': '100', 'ogMin': '1.03', 'fgMin': '1.006', 'fgMax': '1.03', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:44:53'}}",success
4,1,6,273,"{'id': 'VOUZYC', 'name': 'Amarillo Mild', 'nameDisplay': 'Amarillo Mild', 'abv': '3.5', 'styleId': 10, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2016-05-17 20:18:24', 'updateDate': '2016-05-17 20:18:24', 'style': {'id': 10, 'categoryId': 1, 'category': {'id': 1, 'name': 'British Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'English-Style Pale Mild Ale', 'shortName': 'English Pale Mild', 'description': 'English pale mild ales range from golden to amber in color. Malt flavor dominates the flavor profile with little hop bitterness or flavor. Hop aroma can be light. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low. Chill haze is allowable at cold temperatures.', 'ibuMin': '10', 'ibuMax': '20', 'abvMin': '3.2', 'abvMax': '4', 'srmMin': '8', 'srmMax': '17', 'ogMin': '1.03', 'fgMin': '1.004', 'fgMax': '1.008', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:20:35'}}",success
5,1,6,273,"{'id': 'NJl5V3', 'name': 'American Expedition Honey Ginger Wheat Ale Shandy', 'nameDisplay': 'American Expedition Honey Ginger Wheat Ale Shandy', 'abv': '3.5', 'styleId': 25, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2017-07-18 06:41:36', 'updateDate': '2017-07-18 14:19:05', 'style': {'id': 25, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Pale Ale', 'shortName': 'American Pale', 'description': 'American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.', 'ibuMin': '30', 'ibuMax': '42', 'abvMin': '4.5', 'abvMax': '5.6', 'srmMin': '6', 'srmMax': '14', 'ogMin': '1.044', 'fgMin': '1.008', 'fgMax': '1.014', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:25:18'}}",success
6,1,6,273,"{'id': 'NrPWte', 'name': 'American Pale Ale', 'nameDisplay': 'American Pale Ale', 'description': 'Our American Pale Ale is based on the American West Coast pale ale. This style makes use of American hops to give it its unique, upfront aromas. Refreshing and full flavoured, yet light in alcohol and body, Devil’s Peak American Pale Ale is intended to be enjoyed as a session ale.', 'abv': '3.5', 'ibu': '23', 'styleId': 25, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'originalGravity': '1.039', 'createDate': '2016-05-11 16:23:14', 'updateDate': '2016-05-11 16:23:14', 'style': {'id': 25, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Pale Ale', 'shortName': 'American Pale', 'description': 'American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.', 'ibuMin': '30', 'ibuMax': '42', 'abvMin': '4.5', 'abvMax': '5.6', 'srmMin': '6', 'srmMax': '14', 'ogMin': '1.044', 'fgMin': '1.008', 'fgMax': '1.014', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:25:18'}}",success
7,1,6,273,"{'id': 'UWtF4X', 'name': 'Amstel Light', 'nameDisplay': 'Amstel Light', 'description': 'A special light beer containing only 3.5% alcohol and approximately 35% fewer calories than regular lager beer. But every bit as thirst-quenching and refreshing.', 'abv': '3.5', 'glasswareId': 4, 'availableId': 1, 'styleId': 94, 'isOrganic': 'N', 'labels': {'icon': 'https://s3.amazonaws.com/brewerydbapi/beer/UWtF4X/upload_XwWZw0-icon.png', 'medium': 'https://s3.amazonaws.com/brewerydbapi/beer/UWtF4X/upload_XwWZw0-medium.png', 'large': 'https://s3.amazonaws.com/brewerydbapi/beer/UWtF4X/upload_XwWZw0-large.png'}, 'status': 'verified', 'statusDisplay': 'Verified', 'servingTemperature': 'cold', 'servingTemperatureDisplay': 'Cold - (4-7C/39-45F)', 'createDate': '2012-01-03 02:42:42', 'updateDate': '2018-08-03 19:02:19', 'glass': {'id': 4, 'name': 'Pilsner', 'createDate': '2012-01-03 02:41:33'}, 'available': {'id': 1, 'name': 'Year Round', 'description': 'Available year round as a staple beer.'}, 'style': {'id': 94, 'categoryId': 8, 'category': {'id': 8, 'name': 'North American Lager', 'createDate': '2012-03-21 20:06:46'}, 'name': 'American-Style Light (Low Calorie) Lager', 'shortName': 'American Light Lager', 'description': 'These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.', 'ibuMin': '5', 'ibuMax': '10', 'abvMin': '3.5', 'abvMax': '4.4', 'srmMin': '2', 'srmMax': '4', 'ogMin': '1.024', 'fgMin': '1.002', 'fgMax': '1.008', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:39:35'}}",success
8,1,6,273,"{'id': 'As73p2', 'name': 'Anniversary Ale', 'nameDisplay': 'Anniversary Ale', 'description': 'This special ale is a hybrid of styles: a dark beer, a Belgian beer and a session beer. Black in color, with a light to medium body and smooth mouthfeel. Our Anniversary Beer starts out crisp with just the right amount of malt and a hint of pepper, finishing clean w/just a hint of Belgian esters. At 3.5% you will be able to enjoy more than one of these!', 'abv': '3.5', 'ibu': '20', 'glasswareId': 5, 'availableId': 2, 'styleId': 125, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2013-05-05 13:42:51', 'updateDate': '2013-05-05 13:42:51', 'glass': {'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}, 'available': {'id': 2, 'name': 'Limited', 'description': 'Limited availability.'}, 'style': {'id': 125, 'categoryId': 11, 'category': {'id': 11, 'name': 'Hybrid/mixed Beer', 'createDate': '2012-03-21 20:06:46'}, 'name': 'Specialty Beer', 'shortName': 'Specialty', 'description': 'These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.', 'ibuMax': '100', 'abvMin': '2.5', 'abvMax': '25', 'srmMin': '1', 'srmMax': '100', 'ogMin': '1.03', 'fgMin': '1.006', 'fgMax': '1.03', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:44:53'}}",success
9,1,6,273,"{'id': 'uibWLW', 'name': 'Atlas Golden Light', 'nameDisplay': 'Atlas Golden Light', 'description': 'Atlas Golden Light a Pale Lager beer by Cerveceria Nacional Panama (SABMiller), a brewery in Panama.', 'abv': '3.5', 'styleId': 94, 'isOrganic': 'N', 'status': 'verified', 'statusDisplay': 'Verified', 'createDate': '2018-02-25 18:20:44', 'updateDate': '2018-02-27 17:24:43', 'style': {'id': 94, 'categoryId': 8, 'category': {'id': 8, 'name': 'North American Lager', 'createDate': '2012-03-21 20:06:46'}, 'name': 'American-Style Light (Low Calorie) Lager', 'shortName': 'American Light Lager', 'description': 'These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.', 'ibuMin': '5', 'ibuMax': '10', 'abvMin': '3.5', 'abvMax': '4.4', 'srmMin': '2', 'srmMax': '4', 'ogMin': '1.024', 'fgMin': '1.002', 'fgMax': '1.008', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:39:35'}}",success
